k          a                    b                    x_k                  f(x_k)               e_k
1          0.00000000           1.00000000           0.50000000           0.78125000           0.50000000
2          0.50000000           1.00000000           0.75000000           -2.41699219          0.25000000
3          0.50000000           0.75000000           0.62500000           -0.56765747          0.12500000
4          0.50000000           0.62500000           0.56250000           0.16294384           0.06250000
5          0.56250000           0.62500000           0.59375000           -0.18751785          0.03125000
6          0.56250000           0.59375000           0.57812500           -0.00867790          0.01562500
7          0.56250000           0.57812500           0.57031250           0.07802268           0.00781250
8          0.57031250           0.57812500           0.57421875           0.03489639           0.00390625
9          0.57421875           0.57812500           0.57617188           0.01316544           0.00195312
10         0.57617188           0.57812500           0.57714844           0.00225784           0.00097656
11         0.57714844           0.57812500           0.57763672           -0.00320651          0.00048828
12         0.57714844           0.57763672           0.57739258           -0.00047345          0.00024414
13         0.57714844           0.57739258           0.57727051           0.00089242           0.00012207
14         0.57727051           0.57739258           0.57733154           0.00020954           0.00006104
15         0.57733154           0.57739258           0.57736206           -0.00013194          0.00003052
16         0.57733154           0.57736206           0.57734680           0.00003880           0.00001526
17         0.57734680           0.57736206           0.57735443           -0.00004657          0.00000763
18         0.57734680           0.57735443           0.57735062           -0.00000389          0.00000381
19         0.57734680           0.57735062           0.57734871           0.00001746           0.00000191
20         0.57734871           0.57735062           0.57734966           0.00000679           0.00000095
