k          x_k                  f(x_k)               e_k
1          0.00000000           3.00000000           0.57735027
2          1.00000000           -8.00000000          0.42264973
3          0.27272727           2.27629757           0.30462300
4          0.43382509           1.32755696           0.14352518
5          0.65924659           -1.02023950          0.08189632
6          0.56128924           0.17594701           0.01606103
7          0.57569778           0.01845060           0.00165248
8          0.57738574           -0.00039688          0.00003547
9          0.57735019           0.00000087           0.00000008
10         0.57735027           0.00000000           0.00000000
